INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
7907 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062720007,07/30/2021,Closed,Cleaning crew dispatched.  Property cleaned.,09/14/2021,983991,162346,40.612279,-74.000933,11214, 276  ,3162717,Bensonhurst West,"(40.612279, -74.000933)"
1002 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2038150001,12/17/2021,Open,Site to be cleaned.,,1025747,240882,40.827744,-73.850056,10472,  78  ,2026614,Westchester-Unionport,"(40.827744, -73.850056)"
5602/ 4 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/05/2021,Open,Property Research Required,,,,,,,,,,
215 Park Avenue,QUEENS,Unspecified QUEENS,Unspecified,,,08/11/2021,Open,Property Research Required,,,,,,,,,,
11 JEFFERSON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,35,3019950006,06/22/2021,Open,Site downloaded for cleaning,,996182,187930,40.682493,-73.956979,11238, 227  ,3057308,Clinton Hill,"(40.682493, -73.956979)"
145-04 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4099850010,12/14/2021,Open,Site to be cleaned.,,1036989,195076,40.701958,-73.809794,11435, 212  ,4213867,Jamaica,"(40.701958, -73.809794)"
905 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017470035,08/23/2021,Open,Graffiti Reported,,999004,192730,40.695664,-73.946794,11206, 257  ,3048529,Bedford,"(40.695664, -73.946794)"
10-01 38 AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4003600001,11/10/2021,Open,Site downloaded for cleaning,,1000224,215680,40.758654,-73.942340,11101,  85  ,4004378,Queensbridge-Ravenswood-Long Island City,"(40.758654, -73.94234)"
4906 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007850037,12/08/2021,Open,Property Research Required,,982737,173503,40.642902,-74.005452,11220,  98  ,3013046,Sunset Park East,"(40.642902, -74.005452)"
102-45 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4091870038,12/02/2021,Open,Graffiti Reported,,1027537,192591,40.695189,-73.843899,11418,  26  ,4525148,Richmond Hill,"(40.695189, -73.843899)"
207 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004250013,11/30/2021,Open,Site downloaded for cleaning,,986019,202089,40.721364,-73.993618,10002,  18  ,1005681,Chinatown,"(40.721364, -73.993618)"
1161 EAST  165 STREET,BRONX,02 BRONX,Precinct 41,17,2027570044,10/04/2021,Open,Site downloaded for cleaning,,1015515,239965,40.825269,-73.887032,10459, 12102,2000000,Hunts Point,"(40.825269, -73.887032)"
222 PARK PLACE,BROOKLYN,08 BROOKLYN,Precinct 78,35,3011647502,08/06/2021,Open,Site downloaded for cleaning,,992413,185952,40.677069,-73.970571,11238, 163  ,3350251,Prospect Heights,"(40.677069, -73.970571)"
63-22 FLUSHING AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4027490027,07/23/2021,Open,Graffiti Reported,,1011405,202439,40.722284,-73.902034,11378, 521  ,4061439,Maspeth,"(40.722284, -73.902034)"
6814 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3055730012,07/30/2021,Closed,Cleaning crew dispatched.  Cannot locate property.,09/14/2021,984680,165550,40.621073,-73.998451,11219, 190  ,3134833,Bensonhurst West,"(40.621073, -73.998451)"
805 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17,2027310001,10/04/2021,Open,Graffiti Reported,,1013633,236295,40.815202,-73.893848,10474,  93  ,2000000,Hunts Point,"(40.815202, -73.893848)"
371 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072600114,06/14/2021,Closed,Cleaning crew dispatched.  Property cleaned.,12/13/2021,993460,150776,40.580542,-73.966711,11235, 366  ,3196333,Brighton Beach,"(40.580542, -73.966711)"
274 CHAUNCEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015130012,10/18/2021,Open,Graffiti Reported,,1005957,187495,40.681281,-73.921737,11233, 379  ,3041001,Stuyvesant Heights,"(40.681281, -73.921737)"
6824 FORT HAMILTON PARKWAY,BROOKLYN,10 BROOKLYN,Precinct 68,43,3057710020,01/04/2022,Open,Site to be cleaned.,,981012,168443,40.629013,-74.011665,11219, 12801,3143038,Dyker Heights,"(40.629013, -74.011665)"
49-47 31 STREET,QUEENS,02 QUEENS,Precinct 108,26,4002890001,12/28/2021,Open,Site to be cleaned.,,1001815,208488,40.739172,-73.936565,11101, 199  ,4003552,Hunters Point-Sunnyside-West Maspeth,"(40.739172, -73.936565)"
2453 CAMBRELENG AVENUE,BRONX,06 BRONX,Precinct 48,15,2030750050,10/05/2021,Open,Site downloaded for cleaning,,1016285,251151,40.855969,-73.884196,10458, 389  ,2012203,Belmont,"(40.855969, -73.884196)"
6116 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057930045,07/28/2021,Open,Graffiti Reported,,980774,171025,40.636100,-74.012524,11220, 118  ,3143869,Sunset Park East,"(40.6361, -74.012524)"
4207 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3009250006,09/14/2021,Open,Site downloaded for cleaning,,984485,174444,40.645485,-73.999153,11232,  92  ,3018334,Sunset Park East,"(40.645485, -73.999153)"
469 PORT RICHMOND AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 121,49,5010490011,06/23/2021,Open,Graffiti Reported,,945673,169195,40.630994,-74.138982,10302, 213  ,5024825,Port Richmond,"(40.630994, -74.138982)"
97-01 BEACH CHANNEL DRIVE,QUEENS,14 QUEENS,Precinct 100,32,4161530028,10/27/2021,Open,Site downloaded for cleaning,,1034245,153202,40.587040,-73.820000,11693, 94201,4303688,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.58704, -73.82)"
7013 FORT HAMILTON PARKWAY,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058970005,01/03/2022,Open,Graffiti Reported,,980636,168106,40.628088,-74.013020,11228, 208  ,3146823,Dyker Heights,"(40.628088, -74.01302)"
934 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011240116,12/27/2021,Open,Graffiti Reported,,994374,187354,40.680915,-73.963499,11238, 203  ,3027504,Prospect Heights,"(40.680915, -73.963499)"
108-08 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4092980075,12/02/2021,Open,Graffiti Reported,,1028802,192754,40.695630,-73.839336,11418, 12601,4194693,Richmond Hill,"(40.69563, -73.839336)"
872 HANCOCK STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014900041,11/29/2021,Open,Site downloaded for cleaning,,1006764,189255,40.685861,-73.921010,11233, 377  ,3039922,Stuyvesant Heights,"(40.685861, -73.92101)"
5721 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008470001,11/04/2021,Open,Site downloaded for cleaning,,979584,173313,40.642380,-74.016813,11220,  74  ,3337333,Sunset Park West,"(40.64238, -74.016813)"
49 CARMINE STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005860042,07/24/2021,Open,Site downloaded for cleaning,,983214,205211,40.729934,-74.003738,10014,  67  ,1083525,West Village,"(40.729934, -74.003738)"
3203 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,40,3048690056,12/07/2021,Open,Graffiti Reported,,998820,176427,40.650916,-73.947493,11226, 818  ,3108585,Erasmus,"(40.650916, -73.947493)"
173 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003930008,12/10/2021,Open,Site downloaded for cleaning,,989925,204279,40.727374,-73.979525,10009,  28  ,1004877,Lower East Side,"(40.727374, -73.979525)"
2308 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068610041,08/16/2021,Open,Graffiti Reported,,986650,158027,40.600424,-73.991357,11214, 300  ,3185415,Bensonhurst East,"(40.600424, -73.991357)"
56 WEST  126 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1017230059,12/20/2021,Open,Graffiti Reported,,999883,233593,40.807802,-73.943486,10027, 200  ,1053521,Central Harlem South,"(40.807802, -73.943486)"
55 SAINT JAMES PLACE,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002790017,09/22/2021,Open,Graffiti Reported,,984627,198977,40.712823,-73.998640,10038,  27  ,1084492,Chinatown,"(40.712823, -73.99864)"
10 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,2028540044,07/29/2021,Open,Site downloaded for cleaning,,1009951,250322,40.853714,-73.907096,10453, 241  ,2097274,Mount Hope,"(40.853714, -73.907096)"
8 ASTOR PLACE,MANHATTAN,02 MANHATTAN,Precinct 9,02,1005450026,11/11/2021,Open,Graffiti Reported,,986383,205231,40.729988,-73.992304,10003,  57  ,1080094,West Village,"(40.729988, -73.992304)"
41-12 103 STREET,QUEENS,04 QUEENS,Precinct 110,21,4019760005,09/28/2021,Open,Graffiti Reported,,1022254,212042,40.748601,-73.862840,11368, 405  ,4437321,North Corona,"(40.748601, -73.86284)"
1085 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032290045,10/21/2021,Open,Site downloaded for cleaning,,1003468,192284,40.694431,-73.930697,11221, 393  ,3073442,Bushwick South,"(40.694431, -73.930697)"
2422 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,18,2039980022,06/25/2021,Open,Graffiti Reported,,1025028,246273,40.842544,-73.852621,10461, 204  ,2042268,Westchester-Unionport,"(40.842544, -73.852621)"
15 DOWNING STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005270085,10/28/2021,Open,Graffiti Reported,,983396,205065,40.729563,-74.002984,10014,  67  ,1008369,West Village,"(40.729563, -74.002984)"
3566 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073860124,09/28/2021,Open,Site downloaded for cleaning,,1000625,156428,40.597085,-73.941255,11229, 59402,3201579,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.597085, -73.941255)"
303 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018100009,08/18/2021,Open,Graffiti Reported,,999572,189796,40.687610,-73.944752,11216, 265  ,3050979,Bedford,"(40.68761, -73.944752)"
268 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005070021,11/30/2021,Open,Site downloaded for cleaning,,986018,203048,40.723925,-73.993650,10012,  43  ,1007862,SoHo-TriBeCa-Civic Center-Little Italy,"(40.723925, -73.99365)"
74 GRAND STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004750060,01/05/2022,Open,Site to be cleaned.,,983478,202289,40.721914,-74.002785,10013,  47  ,1007085,SoHo-TriBeCa-Civic Center-Little Italy,"(40.721914, -74.002785)"
5301 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008150010,08/18/2021,Open,Site downloaded for cleaning,,980253,174159,40.644702,-74.014403,11220,  76  ,3014236,Sunset Park West,"(40.644702, -74.014403)"
1745 EASTERN PARKWAY,BROOKLYN,16 BROOKLYN,Precinct 73,41,3014550001,09/02/2021,Open,Graffiti Reported,,1009016,184655,40.673478,-73.910718,11233, 36502,3039133,Ocean Hill,"(40.673478, -73.910718)"
3151 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042350045,07/26/2021,Open,Site downloaded for cleaning,,1031233,249114,40.850311,-73.830175,10461, 300  ,2047388,Pelham Bay-Country Club-City Island,"(40.850311, -73.830175)"
426 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1017290003,11/16/2021,Open,Site downloaded for cleaning,,1000153,235035,40.811779,-73.942550,10037, 208  ,1053826,Central Harlem North-Polo Grounds,"(40.811779, -73.94255)"
116 1 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004340009,12/10/2021,Open,Graffiti Reported,,988188,204100,40.726883,-73.985792,10009,  32  ,1005776,East Village,"(40.726883, -73.985792)"
32-45 62 STREET,QUEENS,01 QUEENS,Precinct 114,26,4011630089,09/20/2021,Open,Graffiti Reported,,1011815,214405,40.755126,-73.900506,11377, 297  ,4026213,Woodside,"(40.755126, -73.900506)"
126 WEST  126 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019100002,11/24/2021,Open,Graffiti Reported,,999193,233974,40.808846,-73.945963,10027, 222  ,,Central Harlem South,"(40.808846, -73.945963)"
159 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003480019,08/26/2021,Open,Site downloaded for cleaning,,988311,201286,40.719160,-73.985350,10002,  1402,1004175,Lower East Side,"(40.71916, -73.98535)"
6117/ 5 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/21/2021,Open,Property Research Required,,,,,,,,,,
108-10 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4092980076,12/02/2021,Open,Site downloaded for cleaning,,1028805,192755,40.695633,-73.839325,11418, 12601,4194694,Richmond Hill,"(40.695633, -73.839325)"
44-04 25 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4007150041,11/08/2021,Open,Graffiti Reported,,1009635,218503,40.766381,-73.908359,11103, 145  ,4012720,Astoria,"(40.766381, -73.908359)"
337 UTICA AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,41,3014090001,10/20/2021,Open,Site downloaded for cleaning,,1003300,182108,40.666501,-73.931332,11213, 349  ,3037964,Crown Heights North,"(40.666501, -73.931332)"
150-59 HOOVER AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4067180266,12/06/2021,Open,Site downloaded for cleaning,,1036988,199572,40.714299,-73.809762,11432, 230  ,4446832,Briarwood-Jamaica Hills,"(40.714299, -73.809762)"
1267 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3052950045,08/10/2021,Open,Graffiti Reported,,987987,173064,40.641697,-73.986534,11218, 226  ,3123172,Borough Park,"(40.641697, -73.986534)"
275 56 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008290043,11/30/2021,Open,Site downloaded for cleaning,,979019,174194,40.644872,-74.018972,11220,  22  ,3014872,Sunset Park West,"(40.644872, -74.018972)"
991 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025320040,07/21/2021,Open,Site downloaded for cleaning,,996801,206287,40.732878,-73.954713,11222, 563  ,3064278,Greenpoint,"(40.732878, -73.954713)"
1104 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,04,1014120016,08/09/2021,Open,Site downloaded for cleaning,,995405,221210,40.773840,-73.959725,10075, 140  ,1043192,Upper East Side-Carnegie Hill,"(40.77384, -73.959725)"
153-11 HILLSIDE AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4097060066,10/22/2021,Open,Site downloaded for cleaning,,1038524,197029,40.707310,-73.804242,11432, 236  ,4207481,Briarwood-Jamaica Hills,"(40.70731, -73.804242)"
23-17 21 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008760080,11/29/2021,Open,Site downloaded for cleaning,,1006568,222852,40.778326,-73.919417,11105,  97  ,4019384,Steinway,"(40.778326, -73.919417)"
5111 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056510006,12/08/2021,Open,Graffiti Reported,,983025,172601,40.640427,-74.004414,11220, 108  ,3138132,Sunset Park East,"(40.640427, -74.004414)"
1655 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065830073,08/08/2021,Open,Site downloaded for cleaning,,991566,162364,40.612325,-73.973650,11230, 440  ,3173549,Ocean Parkway South,"(40.612325, -73.97365)"
1101 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050720040,12/20/2021,Open,Site to be cleaned.,,992802,175016,40.647051,-73.969182,11218, 506  ,3116383,Flatbush,"(40.647051, -73.969182)"
1010 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046120010,09/29/2021,Open,Graffiti Reported,,1004713,180745,40.662757,-73.926242,11212, 884  ,3099935,Rugby-Remsen Village,"(40.662757, -73.926242)"
6802 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055800038,12/08/2021,Open,Property Research Required,,988900,162284,40.612108,-73.983252,11204, 258  ,3135132,Bensonhurst West,"(40.612108, -73.983252)"
950 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015860034,12/01/2021,Open,Graffiti Reported,,1002251,193180,40.696893,-73.935083,11221, 287  ,3042898,Stuyvesant Heights,"(40.696893, -73.935083)"
22-44 COLLEGE POINT BOULEVARD,QUEENS,07 QUEENS,Precinct 109,19,4041970039,09/13/2021,Open,Site downloaded for cleaning,,1026879,223282,40.779431,-73.846077,11356, 919  ,4099504,College Point,"(40.779431, -73.846077)"
12 STEUBEN STREET,BROOKLYN,02 BROOKLYN,Precinct 88,33,3018780032,01/03/2022,Open,Graffiti Reported,,994269,193388,40.697477,-73.963868,11205, 543  ,3054168,park-cemetery-etc-Brooklyn,"(40.697477, -73.963868)"
199 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004257502,10/04/2021,Open,Graffiti Reported,,985996,202011,40.721150,-73.993701,10002,  18  ,1087253,Chinatown,"(40.72115, -73.993701)"
189 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,33,3003970009,06/22/2021,Open,Site downloaded for cleaning,,986639,188968,40.685350,-73.991386,11201,  69  ,3006354,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.68535, -73.991386)"
1 VERMONT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,,10/20/2021,Open,Property Research Required,,1013117,187015,40.679943,-73.895924,11207,114201,,Cypress Hills-City Line,"(40.679943, -73.895924)"
37 MONROE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002760019,12/02/2021,Open,Graffiti Reported,,986198,198575,40.711560,-73.994701,10002,   8  ,1003297,Chinatown,"(40.71156, -73.994701)"
476 40 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007140039,12/09/2021,Open,Property Research Required,,982828,176482,40.651107,-74.005171,11232,  82  ,3010599,Sunset Park West,"(40.651107, -74.005171)"
197-19 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,23,4104660090,08/18/2021,Open,Graffiti Reported,,1050099,199277,40.713401,-73.762471,11423, 484  ,4222513,Hollis,"(40.713401, -73.762471)"
6815 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065750007,12/16/2021,Open,Property Research Required,,988725,162055,40.611479,-73.983883,11204, 430  ,3173186,Bensonhurst East,"(40.611479, -73.983883)"
85 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004160055,09/18/2021,Open,Graffiti Reported,,987360,202150,40.721532,-73.988780,10002,  3001,1005523,Chinatown,"(40.721532, -73.98878)"
250 EAST   96 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046310038,09/29/2021,Open,Graffiti Reported,,1006097,180068,40.660895,-73.921256,11212, 884  ,3100676,Rugby-Remsen Village,"(40.660895, -73.921256)"
7803 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062590071,07/30/2021,Open,Graffiti Reported,,984069,162706,40.613267,-74.000652,11214, 264  ,3162114,Bensonhurst West,"(40.613267, -74.000652)"
1091 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047610064,09/30/2021,Open,Site downloaded for cleaning,,1003744,174626,40.646186,-73.929778,11203, 848  ,3327622,Rugby-Remsen Village,"(40.646186, -73.929778)"
44-01 11 STREET,QUEENS,02 QUEENS,Precinct 108,26,4004460030,06/14/2021,Open,Site downloaded for cleaning,,998324,212483,40.749882,-73.949205,11101,  19  ,4005226,Hunters Point-Sunnyside-West Maspeth,"(40.749882, -73.949205)"
5546 BROADWAY,BRONX,08 BRONX,Precinct 50,11,2032660155,09/05/2021,Open,Site downloaded for cleaning,,1010406,259179,40.878022,-73.905417,10463, 283  ,2016141,Spuyten Duyvil-Kingsbridge,"(40.878022, -73.905417)"
541 KINGS HIGHWAY,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066600045,07/15/2021,Open,Graffiti Reported,,992743,159522,40.604524,-73.969414,11223, 422  ,3177318,Homecrest,"(40.604524, -73.969414)"
115-15 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092290023,11/04/2021,Open,Site downloaded for cleaning,,1030311,193913,40.698804,-73.833886,11418, 132  ,4192725,Richmond Hill,"(40.698804, -73.833886)"
670 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,17,2029460030,12/13/2021,Open,Site downloaded for cleaning,,1014149,247443,40.845799,-73.891934,10457, 36901,2009898,East Tremont,"(40.845799, -73.891934)"
43 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003090026,06/15/2021,Open,Site downloaded for cleaning,,986927,200221,40.716237,-73.990343,10002,  16  ,1004019,Chinatown,"(40.716237, -73.990343)"
815 65 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057420073,09/24/2021,Open,Site downloaded for cleaning,,980926,169643,40.632307,-74.011976,11220, 120  ,3141916,Sunset Park East,"(40.632307, -74.011976)"
1072 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015960049,08/24/2021,Open,Site downloaded for cleaning,,1003280,192303,40.694484,-73.931375,11221, 287  ,3043137,Stuyvesant Heights,"(40.694484, -73.931375)"
535 VAN NEST AVENUE,BRONX,11 BRONX,Precinct 49,15,2040190033,08/19/2021,Open,Graffiti Reported,,1020284,245846,40.841392,-73.869769,10460, 240  ,2042597,Van Nest-Morris Park-Westchester Square,"(40.841392, -73.869769)"
1714 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,05,1015510050,08/10/2021,Open,Site downloaded for cleaning,,997988,223351,40.779713,-73.950395,10128, 14602,1050100,Yorkville,"(40.779713, -73.950395)"
34-36 56 STREET,QUEENS,02 QUEENS,Precinct 108,26,4011940070,09/22/2021,Open,Graffiti Reported,,1010461,213357,40.752254,-73.905397,11377, 255  ,4027283,Woodside,"(40.752254, -73.905397)"
699 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022740020,08/23/2021,Open,Site downloaded for cleaning,,999463,194440,40.700357,-73.945135,11206, 507  ,3061490,Bedford,"(40.700357, -73.945135)"
88 CANAL STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5005240017,12/02/2021,Open,Graffiti Reported,,963028,167570,40.626592,-74.076452,10304,  27  ,5013737,Stapleton-Rosebank,"(40.626592, -74.076452)"
35 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031130022,01/05/2022,Open,Site to be cleaned.,,1000212,195255,40.702593,-73.942432,11206, 491  ,3071561,East Williamsburg,"(40.702593, -73.942432)"
2618 DECATUR AVENUE,BRONX,07 BRONX,Precinct 52,15,2032760005,12/17/2021,Open,Site to be cleaned.,,1014584,253813,40.863281,-73.890333,10458, 397  ,2016336,Belmont,"(40.863281, -73.890333)"
477 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050330010,10/01/2021,Open,Site downloaded for cleaning,,997146,179933,40.660542,-73.953519,11225, 800  ,3114995,Prospect Lefferts Gardens-Wingate,"(40.660542, -73.953519)"
1110 CLOSE AVENUE,BRONX,09 BRONX,Precinct 43,17,2037360006,11/29/2021,Open,Graffiti Reported,,1016792,240286,40.826165,-73.882420,10472,  52  ,2023715,Soundview-Bruckner,"(40.826165, -73.88242)"
236 WEST FORDHAM ROAD,BRONX,07 BRONX,Precinct 52,14,2032340074,12/16/2021,Open,Site to be cleaned.,,1009057,253327,40.861964,-73.910317,10468, 257  ,2015108,University Heights-Morris Heights,"(40.861964, -73.910317)"
33-37 FARRINGTON STREET,QUEENS,07 QUEENS,Precinct 109,20,4049500018,09/24/2021,Open,Graffiti Reported,,1030637,218524,40.766353,-73.832541,11354, 869  ,4112007,Flushing,"(40.766353, -73.832541)"
803 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,,08/07/2021,Open,Property Research Required,,997245,204449,40.727833,-73.953115,11222, 561  ,,Greenpoint,"(40.727833, -73.953115)"
37-68 91 STREET,QUEENS,03 QUEENS,Precinct 115,21,4014780038,12/15/2021,Open,Site to be cleaned.,,1018704,212170,40.748967,-73.875652,11372, 275  ,4036369,Jackson Heights,"(40.748967, -73.875652)"
5816 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008580044,12/28/2021,Open,Site to be cleaned.,,981880,171168,40.636493,-74.008539,11220, 104  ,3016214,Sunset Park East,"(40.636493, -74.008539)"
4812 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007760040,08/11/2021,Open,Graffiti Reported,,982892,173699,40.643440,-74.004893,11220,  98  ,3012727,Sunset Park East,"(40.64344, -74.004893)"
149-20 NORTHERN BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4050170022,10/29/2021,Open,Graffiti Reported,,1035133,218158,40.765324,-73.816313,11354,1157  ,4113538,Murray Hill,"(40.765324, -73.816313)"
369 REMSEN AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046450052,09/29/2021,Open,Graffiti Reported,,1005345,178430,40.656401,-73.923972,11212, 882  ,3101051,Rugby-Remsen Village,"(40.656401, -73.923972)"
310 WEST   55 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010450037,12/13/2021,Open,Site downloaded for cleaning,,988556,218234,40.765678,-73.984459,10019, 139  ,1025417,Clinton,"(40.765678, -73.984459)"
306 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053970003,11/26/2021,Open,Graffiti Reported,,990972,170913,40.635791,-73.975781,11218, 484  ,3127091,Kensington-Ocean Parkway,"(40.635791, -73.975781)"
37-30 81 STREET,QUEENS,03 QUEENS,Precinct 115,25,4012910020,08/03/2021,Open,Graffiti Reported,,1016061,212292,40.749312,-73.885190,11372, 283  ,4029989,Jackson Heights,"(40.749312, -73.88519)"
93 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003040026,08/11/2021,Open,Graffiti Reported,,985895,200753,40.717697,-73.994066,10002,  16  ,1003939,Chinatown,"(40.717697, -73.994066)"
145-19 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4096750029,11/29/2021,Open,Site downloaded for cleaning,,1037015,195076,40.701958,-73.809700,11435, 240  ,4206725,Jamaica,"(40.701958, -73.8097)"
1896 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3017040017,10/02/2021,Open,Graffiti Reported,,1005402,186655,40.678977,-73.923740,11233, 299  ,3048047,Crown Heights North,"(40.678977, -73.92374)"
120 PRINCE STREET,BROOKLYN,02 BROOKLYN,Precinct 84,35,3020490002,05/06/2021,Open,Graffiti Reported,,989102,192118,40.693995,-73.982503,11201,  15  ,3393888,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.693995, -73.982503)"
654 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026470044,08/09/2021,Open,Site downloaded for cleaning,,997773,203246,40.724530,-73.951212,11222, 569  ,3066109,Greenpoint,"(40.72453, -73.951212)"
